hour,demand
1,3115.0421858449367
2,2930.9422267047594
3,2787.476863993289
4,2663.7751430948056
5,2539.418925720898
6,2442.3653155898123
7,2389.933657888798
8,2375.7934017384036
9,2416.0308754166444
10,2469.078073610603
11,2577.103990616832
12,2661.962605755822
13,2663.769535965251
14,2635.7807619617843
15,2517.5045919431223
16,2240.2439382969646
17,1659.3625101500043
18,1359.0981603920509
19,1292.5536008643858
20,1329.8881419760776
21,1376.1744029816573
22,1503.2248199061949
23,1791.4093434869326
24,2481.9844850815157
25,2993.896867647719
26,2817.2340351671587
27,2679.3453463510828
28,2560.467924238305
29,2440.887090222417
30,2347.5592911381154
31,2297.000341696082
32,2283.443711029212
33,2322.1376129645955
34,2373.2314399604134
35,2477.0098002300256
36,2558.5535964803785
37,2559.967152507898
38,2532.733568538962
39,2419.0877653306975
40,2152.721659039068
41,1594.472303214202
42,1305.8398853367094
43,1241.9876331410046
44,1277.9155964699505
45,1322.1867512819006
46,1444.1520221268415
47,1721.5625226320317
48,2385.2533341998133
49,3128.927223219573
50,2944.0661584715635
51,2799.9541388685857
52,2675.7090450362225
53,2550.7733973403597
54,2453.272263773456
55,2400.5068938417676
56,2386.2916848949653
57,2426.7431479337647
58,2480.073180840443
59,2588.627463108953
60,2673.8682088455594
61,2675.51457358949
62,2647.226784663623
63,2528.445775724683
64,2250.006650392862
65,1666.5112341247266
66,1364.846076812674
67,1298.0187022748403
68,1335.54013462278
69,1381.9277621229373
70,1509.4447508247304
71,1798.9689036394611
72,2492.7626529522845
73,3000.0591830436415
74,2822.9656275069738
75,2684.8063378076454
76,2565.685093117518
77,2445.880421028767
78,2352.3874377536736
79,2301.7554929618846
80,2288.143096977265
81,2326.9193971667523
82,2378.088031920057
83,2482.1278900765524
84,2563.8260203126406
85,2565.2876587523187
86,2538.041308469705
87,2424.1238241133074
88,2157.1834325458353
89,1597.796725927777
90,1308.5927237248598
91,1244.6040019250963
92,1280.5909989742318
93,1325.0333691959768
94,1447.338183276774
95,1725.2560989291605
96,2390.2654448150547
97,2964.9997057163596
98,2789.066261161597
99,2652.5979545860873
100,2535.055708860565
101,2416.7651188431155
102,2324.681698998193
103,2275.0537292217655
104,2261.7258409618134
105,2300.205915087717
106,2351.086042055881
107,2454.336036507814
108,2535.6981605260244
109,2538.251977086284
110,2512.318709696208
111,2399.740887085896
112,2135.0550924520307
113,1580.0755147856207
114,1293.2797690182108
115,1229.6576708098553
116,1265.1620912788933
117,1309.0991378510114
118,1429.971605511728
119,1705.0216671685944
120,2362.198134567145
121,2814.316425628706
122,2645.5678005783743
123,2516.198496370545
124,2405.109555895562
125,2292.9807805252512
126,2206.252346273966
127,2159.6869826205857
128,2147.3150285754373
129,2184.3359938892163
130,2233.588018680549
131,2332.7217978949975
132,2411.406895997926
133,2415.6810887450038
134,2392.6172399295597
135,2285.856944371755
136,2032.8343395657416
137,1500.9809786328701
138,1226.2407713986906
139,1165.083038444392
140,1198.731627264911
141,1239.9973770064453
142,1354.3327083145198
143,1616.835208978438
144,2240.8401707831804
145,2852.8141568038077
146,2682.4222237871745
147,2551.176726232369
148,2438.550780936177
149,2324.680735663002
150,2236.5250452781374
151,2188.7990523375693
152,2176.3399992977443
153,2213.926481944069
154,2264.0800634278553
155,2364.387199174528
156,2444.118469710594
157,2447.5358899892994
158,2423.2572929025787
159,2315.3001082796422
160,2059.2762206194866
161,1520.4032127180867
162,1241.783007484151
163,1179.9120615944219
164,1214.1675668822356
165,1255.2811246602307
166,1370.426046233479
167,1636.8818205555374
168,2270.126381119371
169,2798.1026173765645
170,2632.8696682282407
171,2504.0530512064424
172,2393.018593368914
173,2281.2883990045248
174,2194.1695297037336
175,2147.030226014295
176,2134.4182119598186
177,2170.613651588044
178,2218.494434109722
179,2315.571253707219
180,2391.9357654103237
181,2393.5129197298766
182,2368.2704931252265
183,2262.0033594218153
184,2012.7951023547153
185,1490.4719779691898
186,1220.4694168359276
187,1160.7809464026616
188,1194.3444006958105
189,1235.7274881559256
190,1349.8208686789753
191,1609.6124409519546
192,2229.547246711522
193,2858.3867448965007
194,2689.7759524854887
195,2558.1514443248116
196,2444.6911646244557
197,2330.5115036785237
198,2241.435551521453
199,2193.147606874534
200,2180.244280744211
201,2217.2105077516994
202,2266.0945907112045
203,2365.1963617042557
204,2443.1133418739073
205,2444.4465144977385
206,2418.4043282072307
207,2309.891585686853
208,2055.509321916325
209,1522.2797752045556
210,1246.5802880531405
211,1185.654046830415
212,1219.9677523773578
213,1262.1495493452842
214,1378.580511353685
215,1643.8438610368362
216,2277.329586244153
217,2878.1735086124595
218,2708.25056681835
219,2575.729028624946
220,2461.5024973180357
221,2346.557453272237
222,2256.9138962073635
223,2208.340014716849
224,2195.333059325066
225,2232.580080852184
226,2281.8131108975476
227,2381.6930273583607
228,2460.2019002031884
229,2461.6652145125972
230,2435.551025138172
231,2326.266136961617
232,2070.028365438781
233,1532.901201356046
234,1255.2022561717645
235,1193.8067985411142
236,1228.3432407572247
237,1270.8644464081124
238,1388.1460208623935
239,1655.205277831774
240,2293.08553345124
241,2889.8800758563275
242,2719.338148420553
243,2586.2715992206554
244,2471.5546151481713
245,2356.1404030045387
246,2266.1029871334395
247,2217.3155941812447
248,2204.2353622224377
249,2241.6065388713696
250,2290.9794022288597
251,2391.2141788908416
252,2469.9628749976405
253,2471.3552477651233
254,2445.0738645138026
255,2335.331089004889
256,2078.136732026681
257,1539.09593313284
258,1260.4081079668726
259,1198.7997343938505
260,1233.4749280759715
261,1276.2153518788919
262,1394.0174553808533
263,1662.0628633064625
264,2302.5137029889233
265,2770.4084779039686
266,2606.088433447489
267,2478.609754639976
268,2368.8365225687357
269,2258.294013422762
270,2172.2971945334752
271,2125.9049890750625
272,2113.510108116902
273,2149.501713791116
274,2197.194799116475
275,2293.70506117269
276,2369.8283497163156
277,2372.2038836700926
278,2347.9248564041777
279,2242.7217947892623
280,1995.2929122448918
281,1476.3507738790056
282,1208.1739231160836
283,1148.772207306666
284,1181.9631847145595
285,1222.8915188931085
286,1335.8068211124662
287,1593.391715314056
288,2207.2092853189192
289,2709.4599801057384
290,2547.0265405228533
291,2422.4962531150964
292,2315.577545475329
293,2207.619516962169
294,2124.1489380207204
295,2079.3105735046515
296,2067.431556832615
297,2103.0946558069395
298,2150.5961647389895
299,2246.0607799049512
300,2321.8735717960935
301,2325.991909441315
302,2303.7696878099755
303,2200.9789735793725
304,1957.3143128236052
305,1445.0509892704333
306,1180.4293862130403
307,1121.5715922510772
308,1153.9748011628947
309,1193.636680727696
310,1303.7004768781117
311,1556.7425890158258
312,2157.3729357392967
313,2727.4708408825177
314,2564.6051075816013
315,2439.1488618520943
316,2331.5057991395192
317,2222.6313450982902
318,2138.378474977772
319,2092.7404176458767
320,2080.8641439387206
321,2116.8212644751247
322,2164.864163031994
323,2260.788027953855
324,2337.0774128457797
325,2340.343241861916
326,2317.106439129689
327,2213.87934146805
328,1969.0295461997914
329,1453.5945891208642
330,1187.093128832426
331,1127.970696763695
332,1160.7301289809382
333,1199.967216885416
334,1310.0491785040472
335,1565.1695287183456
336,2170.432707694538
337,2808.7043404579226
338,2642.8424016878694
339,2513.5358235299564
340,2402.077382486126
341,2289.924684504838
342,2202.473054666236
343,2155.1561753005044
344,2142.492955906232
345,2178.823208091713
346,2226.8763897426106
347,2324.318468658673
348,2400.9659285524635
349,2402.5488787316185
350,2377.212837243467
351,2270.5436648287837
352,2020.3983490083872
353,1496.1202556997805
354,1225.1073622660754
355,1165.1906585570237
356,1198.880338837275
357,1240.4276259536348
358,1354.9551338249184
359,1615.697748040489
360,2237.9936916998477
361,2828.8427460182575
362,2661.984277575208
363,2531.7254249998336
364,2419.4465797123385
365,2306.4447298242853
366,2218.296430077438
367,2170.5044415382117
368,2157.743673185391
369,2194.3338178176496
370,2242.736744994648
371,2340.8204060531407
372,2417.948430492423
373,2419.266931261946
374,2393.487137565772
375,2286.0940012277774
376,2034.3225075418582
377,1506.5420862778014
378,1233.6593650450448
379,1173.3693958737535
380,1207.3310329370527
381,1249.057050098887
382,1364.2803741241732
383,1626.8934290194654
384,2253.7965124058605
385,2757.573542738981
386,2594.80553212012
387,2467.857849139834
388,2358.4534272016067
389,2248.315575859315
390,2162.457317077041
391,2115.906981271178
392,2103.4824227604217
393,2139.193805002778
394,2186.4624007649263
395,2282.184219730067
396,2357.472063333072
397,2358.8738725106246
398,2333.8295952487683
399,2229.1165297125085
400,1983.5381279059436
401,1468.6578413052555
402,1202.4581858215552
403,1143.6597796173464
404,1176.7594593243498
405,1217.4183636167768
406,1329.7672335501172
407,1586.0045793003417
408,2197.018186032193
409,2737.384781519073
410,2575.8849249643617
411,2449.866506277891
412,2341.248365938744
413,2231.912835420177
414,2146.663453520634
415,2100.435795518442
416,2088.093059377458
417,2123.524135359012
418,2170.4163107494633
419,2265.39651156824
420,2340.077138913134
421,2341.3967435903824
422,2316.47238793663
423,2212.5116963697897
424,1968.7908390498446
425,1457.8644706590649
426,1193.7087216461114
427,1135.381453592811
428,1168.239976305506
